age_start,age_end,sex,race_ethnicity,gq_person_migration_rate,new_household_migration_rate,non_reference_person_migration_rate
0,15,Female,AIAN,0.002394,0.000000,0.025418
0,15,Female,Asian,0.000074,0.000000,0.007254
0,15,Female,Black,0.001307,0.000000,0.019006
0,15,Female,Latino,0.000381,0.000000,0.012993
0,15,Female,Multiracial or Other,0.000471,0.000000,0.019056
0,15,Female,NHOPI,0.002340,0.000000,0.014801
0,15,Female,White,0.000340,0.000000,0.015810
0,15,Male,AIAN,0.002209,0.000000,0.023948
0,15,Male,Asian,0.000035,0.000000,0.007798
0,15,Male,Black,0.001867,0.000000,0.019687
0,15,Male,Latino,0.000607,0.000000,0.013688
0,15,Male,Multiracial or Other,0.000851,0.000000,0.020142
0,15,Male,NHOPI,0.000693,0.000000,0.009325
0,15,Male,White,0.000672,0.000000,0.015678
15,18,Female,AIAN,0.007272,0.000895,0.025328
15,18,Female,Asian,0.004627,0.000083,0.011554
15,18,Female,Black,0.008983,0.000302,0.019496
15,18,Female,Latino,0.003161,0.000232,0.013694
15,18,Female,Multiracial or Other,0.005839,0.000295,0.019360
15,18,Female,NHOPI,0.004737,0.000000,0.018765
15,18,Female,White,0.004083,0.000213,0.016435
15,18,Male,AIAN,0.013736,0.000950,0.027061
15,18,Male,Asian,0.004432,0.000230,0.011120
15,18,Male,Black,0.025558,0.000350,0.019924
15,18,Male,Latino,0.009785,0.000224,0.013917
15,18,Male,Multiracial or Other,0.009876,0.000236,0.020935
15,18,Male,NHOPI,0.008648,0.000257,0.034506
15,18,Male,White,0.006472,0.000224,0.015889
18,19,Female,AIAN,0.112933,0.003304,0.037184
18,19,Female,Asian,0.205756,0.002164,0.019911
18,19,Female,Black,0.135829,0.007336,0.025334
18,19,Female,Latino,0.077004,0.004784,0.027117
18,19,Female,Multiracial or Other,0.149349,0.010425,0.033907
18,19,Female,NHOPI,0.104448,0.007619,0.048906
18,19,Female,White,0.200933,0.008117,0.033991
18,19,Male,AIAN,0.075467,0.017120,0.037967
18,19,Male,Asian,0.180767,0.006054,0.012803
18,19,Male,Black,0.117788,0.004156,0.027276
18,19,Male,Latino,0.061043,0.004206,0.021195
18,19,Male,Multiracial or Other,0.112206,0.008090,0.029616
18,19,Male,NHOPI,0.067777,0.000000,0.048115
18,19,Male,White,0.145517,0.006436,0.026468
19,20,Female,AIAN,0.081175,0.019675,0.069062
19,20,Female,Asian,0.152900,0.012925,0.050469
19,20,Female,Black,0.111905,0.019501,0.049311
19,20,Female,Latino,0.066046,0.011958,0.043553
19,20,Female,Multiracial or Other,0.116496,0.024711,0.065370
19,20,Female,NHOPI,0.036625,0.022518,0.042594
19,20,Female,White,0.161300,0.023313,0.063044
19,20,Male,AIAN,0.071194,0.018072,0.059462
19,20,Male,Asian,0.132777,0.015433,0.040867
19,20,Male,Black,0.118756,0.009062,0.045161
19,20,Male,Latino,0.063974,0.010325,0.044225
19,20,Male,Multiracial or Other,0.120867,0.017572,0.065258
19,20,Male,NHOPI,0.104545,0.005227,0.049545
19,20,Male,White,0.159538,0.019168,0.056598
20,21,Female,AIAN,0.039657,0.033392,0.100865
20,21,Female,Asian,0.065221,0.024782,0.063575
20,21,Female,Black,0.042572,0.036213,0.060046
20,21,Female,Latino,0.030396,0.018643,0.051398
20,21,Female,Multiracial or Other,0.049631,0.046999,0.093170
20,21,Female,NHOPI,0.068031,0.013287,0.043051
20,21,Female,White,0.051182,0.040747,0.091466
20,21,Male,AIAN,0.054327,0.019631,0.078523
20,21,Male,Asian,0.059053,0.028637,0.052137
20,21,Male,Black,0.065601,0.022178,0.060497
20,21,Male,Latino,0.039063,0.015174,0.050478
20,21,Male,Multiracial or Other,0.054940,0.023298,0.076705
20,21,Male,NHOPI,0.050339,0.011381,0.063252
20,21,Male,White,0.058034,0.035024,0.078610
21,22,Female,AIAN,0.021697,0.024079,0.051313
21,22,Female,Asian,0.031178,0.037437,0.064911
21,22,Female,Black,0.030819,0.041479,0.063047
21,22,Female,Latino,0.013428,0.023218,0.055122
21,22,Female,Multiracial or Other,0.024911,0.043177,0.091332
21,22,Female,NHOPI,0.014053,0.026292,0.038758
21,22,Female,White,0.025501,0.046347,0.095959
21,22,Male,AIAN,0.031650,0.025928,0.065983
21,22,Male,Asian,0.032687,0.035950,0.065160
21,22,Male,Black,0.054304,0.027088,0.060414
21,22,Male,Latino,0.025371,0.020414,0.050725
21,22,Male,Multiracial or Other,0.034039,0.027840,0.080029
21,22,Male,NHOPI,0.057052,0.015916,0.062439
21,22,Male,White,0.034463,0.045479,0.085897
22,25,Female,AIAN,0.009801,0.026608,0.062421
22,25,Female,Asian,0.009798,0.060213,0.089206
22,25,Female,Black,0.012898,0.055718,0.063040
22,25,Female,Latino,0.005859,0.030413,0.060987
22,25,Female,Multiracial or Other,0.009976,0.066200,0.096415
22,25,Female,NHOPI,0.019058,0.018635,0.080891
22,25,Female,White,0.007635,0.068168,0.104459
22,25,Male,AIAN,0.044651,0.021533,0.067811
22,25,Male,Asian,0.011508,0.063069,0.080574
22,25,Male,Black,0.051487,0.042195,0.064972
22,25,Male,Latino,0.022197,0.028820,0.058688
22,25,Male,Multiracial or Other,0.028970,0.058435,0.100392
22,25,Male,NHOPI,0.027400,0.035187,0.092706
22,25,Male,White,0.018116,0.067441,0.094790
25,30,Female,AIAN,0.013985,0.030843,0.044967
25,30,Female,Asian,0.002269,0.055495,0.062270
25,30,Female,Black,0.007426,0.049776,0.047742
25,30,Female,Latino,0.003811,0.025210,0.044043
25,30,Female,Multiracial or Other,0.006498,0.058604,0.066980
25,30,Female,NHOPI,0.014782,0.017210,0.063858
25,30,Female,White,0.004117,0.050890,0.065557
25,30,Male,AIAN,0.039375,0.032233,0.064078
25,30,Male,Asian,0.006145,0.076785,0.064258
25,30,Male,Black,0.042035,0.048010,0.059358
25,30,Male,Latino,0.017472,0.032746,0.048790
25,30,Male,Multiracial or Other,0.020619,0.064363,0.070454
25,30,Male,NHOPI,0.020924,0.014557,0.065042
25,30,Male,White,0.013046,0.059463,0.068948
30,40,Female,AIAN,0.014171,0.016452,0.027456
30,40,Female,Asian,0.000720,0.020828,0.021686
30,40,Female,Black,0.006331,0.030532,0.023469
30,40,Female,Latino,0.003296,0.013963,0.019564
30,40,Female,Multiracial or Other,0.005733,0.032778,0.027959
30,40,Female,NHOPI,0.014377,0.008917,0.018263
30,40,Female,White,0.003808,0.022029,0.027237
30,40,Male,AIAN,0.047634,0.026655,0.033969
30,40,Male,Asian,0.002609,0.039407,0.022448
30,40,Male,Black,0.042794,0.037079,0.036090
30,40,Male,Latino,0.014123,0.021541,0.025352
30,40,Male,Multiracial or Other,0.020301,0.041732,0.034483
30,40,Male,NHOPI,0.023472,0.017660,0.027780
30,40,Male,White,0.012513,0.030835,0.031488
40,50,Female,AIAN,0.013587,0.019998,0.020592
40,50,Female,Asian,0.000383,0.009515,0.008926
40,50,Female,Black,0.004307,0.027218,0.016564
40,50,Female,Latino,0.001779,0.010410,0.011688
40,50,Female,Multiracial or Other,0.005885,0.021902,0.018578
40,50,Female,NHOPI,0.010731,0.011138,0.012497
40,50,Female,White,0.002302,0.015012,0.015143
40,50,Male,AIAN,0.035801,0.028096,0.025408
40,50,Male,Asian,0.002002,0.019109,0.009448
40,50,Male,Black,0.029174,0.029538,0.024205
40,50,Male,Latino,0.010122,0.015423,0.015713
40,50,Male,Multiracial or Other,0.017261,0.024383,0.020120
40,50,Male,NHOPI,0.027682,0.020611,0.022537
40,50,Male,White,0.008268,0.019192,0.016882
50,60,Female,AIAN,0.004433,0.034603,0.014116
50,60,Female,Asian,0.000701,0.009369,0.012108
50,60,Female,Black,0.004616,0.035072,0.013716
50,60,Female,Latino,0.001398,0.015087,0.012553
50,60,Female,Multiracial or Other,0.003875,0.032866,0.013083
50,60,Female,NHOPI,0.008337,0.020103,0.018342
50,60,Female,White,0.001828,0.019884,0.012605
50,60,Male,AIAN,0.020938,0.028867,0.018950
50,60,Male,Asian,0.001693,0.010948,0.008068
50,60,Male,Black,0.025858,0.028752,0.018825
50,60,Male,Latino,0.006924,0.015647,0.012577
50,60,Male,Multiracial or Other,0.015258,0.030139,0.014887
50,60,Male,NHOPI,0.017768,0.010641,0.031859
50,60,Male,White,0.005979,0.019210,0.012152
60,70,Female,AIAN,0.003573,0.025686,0.018111
60,70,Female,Asian,0.000688,0.009727,0.014763
60,70,Female,Black,0.004455,0.031860,0.010099
60,70,Female,Latino,0.001297,0.018173,0.012027
60,70,Female,Multiracial or Other,0.003517,0.032273,0.013258
60,70,Female,NHOPI,0.002733,0.012433,0.022671
60,70,Female,White,0.002307,0.020418,0.008584
60,70,Male,AIAN,0.007869,0.026044,0.013311
60,70,Male,Asian,0.001929,0.010557,0.010736
60,70,Male,Black,0.016257,0.027796,0.011511
60,70,Male,Latino,0.004646,0.016922,0.010379
60,70,Male,Multiracial or Other,0.008743,0.023296,0.011367
60,70,Male,NHOPI,0.006183,0.018877,0.010726
60,70,Male,White,0.003888,0.016599,0.007326
70,80,Female,AIAN,0.006847,0.016290,0.007786
70,80,Female,Asian,0.001990,0.009555,0.012935
70,80,Female,Black,0.007794,0.024876,0.007745
70,80,Female,Latino,0.003957,0.018641,0.011876
70,80,Female,Multiracial or Other,0.005535,0.032663,0.009428
70,80,Female,NHOPI,0.006678,0.004659,0.011647
70,80,Female,White,0.005366,0.021154,0.007509
70,80,Male,AIAN,0.005618,0.022133,0.005717
70,80,Male,Asian,0.002321,0.008099,0.009994
70,80,Male,Black,0.011229,0.018786,0.007887
70,80,Male,Latino,0.005884,0.013481,0.008374
70,80,Male,Multiracial or Other,0.004572,0.019846,0.007234
70,80,Male,NHOPI,0.005478,0.010557,0.001693
70,80,Male,White,0.004896,0.013943,0.005050
80,100,Female,AIAN,0.017751,0.014304,0.012836
80,100,Female,Asian,0.009226,0.012272,0.018765
80,100,Female,Black,0.018157,0.019676,0.012313
80,100,Female,Latino,0.010232,0.016586,0.015415
80,100,Female,Multiracial or Other,0.008364,0.034615,0.015190
80,100,Female,NHOPI,0.015128,0.006082,0.020898
80,100,Female,White,0.020082,0.032790,0.011476
80,100,Male,AIAN,0.022176,0.022119,0.008467
80,100,Male,Asian,0.007225,0.012188,0.012989
80,100,Male,Black,0.019369,0.016119,0.008201
80,100,Male,Latino,0.008555,0.014895,0.012047
80,100,Male,Multiracial or Other,0.009203,0.020180,0.011335
80,100,Male,NHOPI,0.007874,0.000000,0.000000
80,100,Male,White,0.014874,0.020685,0.007289
